Timestamp,Input Text,Sentiment,Confidence
2024-01-24 11:31:00,Superb quality and value for money.,POSITIVE,0.86
2024-12-09 04:57:00,"I might consider buying again, not sure.",NEUTRAL,0.88
2024-03-14 04:29:00,I will never buy from this company again.,NEGATIVE,0.82
2024-11-08 16:23:00,This is the worst purchase I've made this year.,NEGATIVE,0.74
2024-04-09 21:50:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.96
2024-11-13 13:36:00,"An average product, nothing to rave about.",NEUTRAL,0.81
2024-01-20 02:45:00,"Terrible experience, I want a refund.",NEGATIVE,0.78
2024-11-20 00:26:00,This product did not meet my expectations.,NEGATIVE,0.71
2024-02-18 04:14:00,"Customer service was decent, could be better.",NEUTRAL,0.89
2024-03-19 09:42:00,The product exceeded my expectations!,POSITIVE,0.94
2024-06-28 01:42:00,"Top-notch, I'm very satisfied.",POSITIVE,0.97
2024-12-24 12:14:00,One star for the terrible support team.,NEGATIVE,0.79
2024-06-12 23:27:00,"Neutral experience, met basic expectations.",NEUTRAL,0.84
2024-04-23 08:53:00,"Customer service was decent, could be better.",NEUTRAL,0.77
2024-06-14 03:52:00,Unacceptable experience overall.,NEGATIVE,0.81
2024-08-17 12:18:00,"It's fine, does the job.",NEUTRAL,0.87
2024-07-26 18:38:00,The product exceeded my expectations!,POSITIVE,0.9
2024-10-30 08:10:00,"Poor quality, not worth the money.",NEGATIVE,0.69
2024-11-29 09:00:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.75
2024-04-14 15:19:00,Unacceptable experience overall.,NEGATIVE,0.66
2024-10-21 06:57:00,This is the best purchase I've made this year.,POSITIVE,0.85
2024-05-31 13:18:00,"Poor quality, not worth the money.",NEGATIVE,0.78
2024-02-02 16:01:00,Nothing special about this product.,NEUTRAL,0.76
2024-04-29 10:18:00,"Neutral experience, met basic expectations.",NEUTRAL,0.78
2024-12-04 23:17:00,"Average experience, not bad but not great.",NEUTRAL,0.83
2024-02-25 22:55:00,Customer service was unhelpful and rude.,NEGATIVE,0.76
2024-09-29 08:35:00,"The service was acceptable, nothing more.",NEUTRAL,0.79
2024-02-07 13:36:00,"Poor quality, not worth the money.",NEGATIVE,0.66
2024-09-19 01:44:00,I'm very disappointed with this.,NEGATIVE,0.67
2024-05-22 00:38:00,"I might consider buying again, not sure.",NEUTRAL,0.82
2024-04-28 14:32:00,"It's fine, does the job.",NEUTRAL,0.87
2024-10-10 13:58:00,Five stars for the excellent support team!,POSITIVE,0.92
2024-12-04 10:30:00,I'm so happy with this!,POSITIVE,0.85
2024-04-26 03:06:00,Customer service was unhelpful and rude.,NEGATIVE,0.75
2024-08-10 19:39:00,"Brilliant service, keep up the good work!",POSITIVE,0.93
2024-02-10 17:30:00,"Horrible service, needs improvement.",NEGATIVE,0.66
2024-09-16 02:25:00,This is the best purchase I've made this year.,POSITIVE,0.85
2024-10-24 19:25:00,Nothing special about this product.,NEUTRAL,0.84
2024-10-27 01:24:00,Superb quality and value for money.,POSITIVE,0.97
2024-12-03 14:09:00,"Terrible experience, I want a refund.",NEGATIVE,0.67
2024-11-01 16:34:00,I will definitely recommend this to others.,POSITIVE,0.95
2024-09-09 08:56:00,"The service was acceptable, nothing more.",NEUTRAL,0.88
2024-11-08 10:32:00,Superb quality and value for money.,POSITIVE,0.98
2024-01-28 18:16:00,Customer service was unhelpful and rude.,NEGATIVE,0.67
2024-06-09 12:36:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.87
2024-05-09 02:47:00,"Neutral experience, met basic expectations.",NEUTRAL,0.8
2024-09-06 10:21:00,The product exceeded my expectations!,POSITIVE,0.98
2024-03-28 12:56:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.89
2024-04-25 20:51:00,This is the best purchase I've made this year.,POSITIVE,0.96
2024-03-26 15:15:00,"Customer service was fantastic, very helpful.",POSITIVE,0.91
2024-06-05 21:11:00,This product did not meet my expectations.,NEGATIVE,0.66
2024-07-10 19:40:00,Unacceptable experience overall.,NEGATIVE,0.79
2024-04-27 08:11:00,"Neutral experience, met basic expectations.",NEUTRAL,0.82
2024-06-23 18:27:00,"Average experience, not bad but not great.",NEUTRAL,0.81
2024-05-25 15:11:00,One star for the terrible support team.,NEGATIVE,0.79
2024-12-25 05:25:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.81
2024-11-29 20:57:00,I'm very disappointed with this.,NEGATIVE,0.7
2024-02-09 03:56:00,"Brilliant service, keep up the good work!",POSITIVE,0.92
2024-07-24 05:42:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.88
2024-05-27 01:43:00,This is the best purchase I've made this year.,POSITIVE,0.86
2024-10-05 19:01:00,"Horrible service, needs improvement.",NEGATIVE,0.74
2024-05-13 23:10:00,I'm very disappointed with this.,NEGATIVE,0.83
2024-09-20 10:00:00,"The service was acceptable, nothing more.",NEUTRAL,0.77
2024-08-11 12:15:00,One star for the terrible support team.,NEGATIVE,0.65
2024-02-04 16:22:00,"It's fine, does the job.",NEUTRAL,0.83
2024-10-06 21:00:00,Unacceptable experience overall.,NEGATIVE,0.76
2024-07-18 01:43:00,"I might consider buying again, not sure.",NEUTRAL,0.78
2024-07-08 21:41:00,This is the best purchase I've made this year.,POSITIVE,0.98
2024-11-28 17:05:00,Nothing special about this product.,NEUTRAL,0.88
2024-01-08 11:13:00,Unacceptable experience overall.,NEGATIVE,0.81
2024-10-02 07:01:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.81
2024-09-14 11:18:00,I will definitely recommend this to others.,POSITIVE,0.92
2024-05-06 06:17:00,This is the best purchase I've made this year.,POSITIVE,0.96
2024-08-21 23:48:00,"Neutral experience, met basic expectations.",NEUTRAL,0.89
2024-05-25 11:04:00,One star for the terrible support team.,NEGATIVE,0.75
2024-09-13 04:41:00,Superb quality and value for money.,POSITIVE,0.98
2024-06-03 22:38:00,"It's fine, does the job.",NEUTRAL,0.8
2024-11-01 00:37:00,I'm so happy with this!,POSITIVE,0.99
2024-07-25 04:49:00,This is the worst purchase I've made this year.,NEGATIVE,0.83
2024-11-17 10:29:00,This is the best purchase I've made this year.,POSITIVE,0.95
2024-10-15 03:26:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.87
2024-02-03 05:48:00,"I might consider buying again, not sure.",NEUTRAL,0.81
2024-04-04 16:10:00,One star for the terrible support team.,NEGATIVE,0.79
2024-11-24 06:58:00,This is the best purchase I've made this year.,POSITIVE,0.92
2024-08-02 01:10:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-12-02 04:24:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.88
2024-10-07 01:46:00,One star for the terrible support team.,NEGATIVE,0.65
2024-07-28 06:08:00,"An average product, nothing to rave about.",NEUTRAL,0.85
2024-11-20 02:20:00,"Brilliant service, keep up the good work!",POSITIVE,0.92
2024-02-23 22:32:00,"Customer service was fantastic, very helpful.",POSITIVE,0.88
2024-09-23 13:36:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-02-01 00:57:00,"Top-notch, I'm very satisfied.",POSITIVE,0.87
2024-09-20 04:00:00,Superb quality and value for money.,POSITIVE,0.88
2024-04-18 04:07:00,I will never buy from this company again.,NEGATIVE,0.71
2024-07-23 00:23:00,"Customer service was fantastic, very helpful.",POSITIVE,0.94
2024-01-12 20:47:00,Customer service was unhelpful and rude.,NEGATIVE,0.8
2024-07-18 15:00:00,This product did not meet my expectations.,NEGATIVE,0.69
2024-03-14 11:21:00,"Top-notch, I'm very satisfied.",POSITIVE,0.88
2024-07-14 16:12:00,"Horrible service, needs improvement.",NEGATIVE,0.76
2024-02-27 01:02:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-04 07:19:00,I'm very disappointed with this.,NEGATIVE,0.8
2024-04-14 19:29:00,"Horrible service, needs improvement.",NEGATIVE,0.81
2024-03-02 02:48:00,Customer service was unhelpful and rude.,NEGATIVE,0.75
2024-09-22 12:57:00,"Horrible service, needs improvement.",NEGATIVE,0.68
2024-08-04 08:03:00,Five stars for the excellent support team!,POSITIVE,0.89
2024-01-24 10:13:00,"I might consider buying again, not sure.",NEUTRAL,0.83
2024-11-10 11:59:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-23 21:47:00,"I might consider buying again, not sure.",NEUTRAL,0.75
2024-01-17 01:00:00,This purchase was neither good nor bad.,NEUTRAL,0.85
2024-07-29 12:29:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.86
2024-05-18 02:51:00,This product did not meet my expectations.,NEGATIVE,0.67
2024-01-25 21:17:00,"Average experience, not bad but not great.",NEUTRAL,0.78
2024-02-14 23:10:00,"Poor quality, not worth the money.",NEGATIVE,0.73
2024-04-27 12:48:00,This is the best purchase I've made this year.,POSITIVE,0.94
2024-04-06 09:52:00,This product did not meet my expectations.,NEGATIVE,0.66
2024-04-11 08:02:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.87
2024-07-22 18:27:00,"Customer service was fantastic, very helpful.",POSITIVE,0.98
2024-02-26 20:55:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-03-07 06:48:00,Unacceptable experience overall.,NEGATIVE,0.73
2024-06-02 03:19:00,"Terrible experience, I want a refund.",NEGATIVE,0.85
2024-03-05 22:52:00,Unacceptable experience overall.,NEGATIVE,0.8
2024-03-12 16:57:00,Nothing special about this product.,NEUTRAL,0.89
2024-05-12 19:26:00,"Neutral experience, met basic expectations.",NEUTRAL,0.84
2024-07-13 15:08:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.88
2024-06-24 15:00:00,I will never buy from this company again.,NEGATIVE,0.78
2024-07-09 12:12:00,"Brilliant service, keep up the good work!",POSITIVE,0.85
2024-06-10 13:40:00,This is the best purchase I've made this year.,POSITIVE,0.86
2024-08-25 14:40:00,I will never buy from this company again.,NEGATIVE,0.67
2024-07-30 21:36:00,"The service was acceptable, nothing more.",NEUTRAL,0.82
2024-12-25 01:43:00,"I might consider buying again, not sure.",NEUTRAL,0.86
2024-07-15 08:21:00,One star for the terrible support team.,NEGATIVE,0.84
2024-10-12 04:42:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.86
2024-08-13 06:42:00,Unacceptable experience overall.,NEGATIVE,0.81
2024-09-19 06:52:00,"It's fine, does the job.",NEUTRAL,0.85
2024-05-01 23:20:00,"An average product, nothing to rave about.",NEUTRAL,0.87
2024-10-02 06:27:00,I'm so happy with this!,POSITIVE,0.99
2024-05-12 02:36:00,"Horrible service, needs improvement.",NEGATIVE,0.75
2024-08-30 19:53:00,I'm so happy with this!,POSITIVE,0.91
2024-05-02 03:18:00,One star for the terrible support team.,NEGATIVE,0.82
2024-04-19 21:14:00,This is the worst purchase I've made this year.,NEGATIVE,0.7
2024-06-19 02:19:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.86
2024-11-28 05:51:00,This is the best purchase I've made this year.,POSITIVE,0.95
2024-09-26 19:37:00,"Neutral experience, met basic expectations.",NEUTRAL,0.86
2024-03-28 23:28:00,"I might consider buying again, not sure.",NEUTRAL,0.85
2024-08-30 02:22:00,"Average experience, not bad but not great.",NEUTRAL,0.8
2024-05-21 02:46:00,"An average product, nothing to rave about.",NEUTRAL,0.85
2024-07-16 14:58:00,This product did not meet my expectations.,NEGATIVE,0.82
2024-12-20 01:23:00,Superb quality and value for money.,POSITIVE,0.93
2024-10-06 20:24:00,I will never buy from this company again.,NEGATIVE,0.74
2024-03-07 21:21:00,"Top-notch, I'm very satisfied.",POSITIVE,0.98
2024-09-08 18:04:00,"Neutral experience, met basic expectations.",NEUTRAL,0.88
2024-01-13 10:11:00,"Brilliant service, keep up the good work!",POSITIVE,0.95
2024-11-13 01:01:00,I will definitely recommend this to others.,POSITIVE,0.94
2024-11-16 09:19:00,Nothing special about this product.,NEUTRAL,0.88
2024-07-08 04:03:00,"Horrible service, needs improvement.",NEGATIVE,0.66
2024-03-14 08:17:00,"It's fine, does the job.",NEUTRAL,0.8
2024-08-06 01:54:00,"The service was acceptable, nothing more.",NEUTRAL,0.82
2024-04-27 20:24:00,"An average product, nothing to rave about.",NEUTRAL,0.79
2024-11-29 23:44:00,This is the worst purchase I've made this year.,NEGATIVE,0.84
2024-10-08 15:17:00,This is the best purchase I've made this year.,POSITIVE,0.86
2024-11-28 08:26:00,"Average experience, not bad but not great.",NEUTRAL,0.76
2024-04-01 07:30:00,"Brilliant service, keep up the good work!",POSITIVE,0.87
2024-08-27 09:29:00,"Customer service was fantastic, very helpful.",POSITIVE,0.93
2024-06-05 09:11:00,One star for the terrible support team.,NEGATIVE,0.7
2024-12-16 00:22:00,"Horrible service, needs improvement.",NEGATIVE,0.8
2024-03-31 00:26:00,I'm very disappointed with this.,NEGATIVE,0.82
2024-08-23 01:13:00,"Neutral experience, met basic expectations.",NEUTRAL,0.76
2024-06-17 10:29:00,This is the worst purchase I've made this year.,NEGATIVE,0.8
2024-12-18 20:53:00,"Average experience, not bad but not great.",NEUTRAL,0.84
2024-10-28 05:08:00,I'm very disappointed with this.,NEGATIVE,0.81
2024-01-14 15:29:00,"An average product, nothing to rave about.",NEUTRAL,0.79
2024-04-07 05:45:00,Superb quality and value for money.,POSITIVE,0.94
2024-08-20 02:06:00,One star for the terrible support team.,NEGATIVE,0.67
2024-03-18 05:34:00,I will never buy from this company again.,NEGATIVE,0.66
2024-12-29 09:56:00,"Customer service was fantastic, very helpful.",POSITIVE,0.87
2024-02-12 10:59:00,"It's fine, does the job.",NEUTRAL,0.81
2024-12-09 09:31:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.79
2024-05-10 20:11:00,I'm so happy with this!,POSITIVE,0.86
2024-07-09 08:51:00,This is the best purchase I've made this year.,POSITIVE,0.95
2024-08-02 23:04:00,"Top-notch, I'm very satisfied.",POSITIVE,0.96
2024-02-12 10:01:00,"Average experience, not bad but not great.",NEUTRAL,0.85
2024-04-23 09:58:00,"Average experience, not bad but not great.",NEUTRAL,0.77
2024-09-11 20:10:00,The product exceeded my expectations!,POSITIVE,0.91
2024-12-05 09:06:00,I will definitely recommend this to others.,POSITIVE,0.98
2024-08-27 17:22:00,Superb quality and value for money.,POSITIVE,0.98
2024-07-05 03:09:00,"Neutral experience, met basic expectations.",NEUTRAL,0.77
2024-04-04 13:23:00,"It's fine, does the job.",NEUTRAL,0.81
2024-04-09 23:11:00,"Average experience, not bad but not great.",NEUTRAL,0.78
2024-10-19 10:16:00,"Horrible service, needs improvement.",NEGATIVE,0.84
2024-11-22 01:46:00,I will never buy from this company again.,NEGATIVE,0.71
2024-06-02 10:41:00,One star for the terrible support team.,NEGATIVE,0.68
2024-09-09 21:07:00,"Brilliant service, keep up the good work!",POSITIVE,0.94
2024-07-20 20:31:00,This product did not meet my expectations.,NEGATIVE,0.84
2024-04-15 14:11:00,Nothing special about this product.,NEUTRAL,0.78
2024-12-16 04:57:00,This is the worst purchase I've made this year.,NEGATIVE,0.69
2024-08-08 05:47:00,"It's fine, does the job.",NEUTRAL,0.78
2024-12-19 19:27:00,"Average experience, not bad but not great.",NEUTRAL,0.87
2024-10-05 08:29:00,"Terrible experience, I want a refund.",NEGATIVE,0.69
2024-04-30 03:19:00,Superb quality and value for money.,POSITIVE,0.93
2024-01-24 06:22:00,I will never buy from this company again.,NEGATIVE,0.7
2024-08-06 05:16:00,Superb quality and value for money.,POSITIVE,0.87
2024-06-27 20:14:00,This purchase was neither good nor bad.,NEUTRAL,0.84
2024-10-12 04:59:00,"Terrible experience, I want a refund.",NEGATIVE,0.71
2024-03-12 10:39:00,"Top-notch, I'm very satisfied.",POSITIVE,0.92
2024-12-18 21:07:00,"Terrible experience, I want a refund.",NEGATIVE,0.73
2024-10-10 21:44:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.89
2024-08-10 09:46:00,"An average product, nothing to rave about.",NEUTRAL,0.88
2024-02-16 00:11:00,The product exceeded my expectations!,POSITIVE,0.86
2024-05-22 14:16:00,"Top-notch, I'm very satisfied.",POSITIVE,0.97
2024-12-14 07:48:00,The product exceeded my expectations!,POSITIVE,0.92
2024-02-23 12:08:00,"Horrible service, needs improvement.",NEGATIVE,0.75
2024-07-22 09:22:00,"Neutral experience, met basic expectations.",NEUTRAL,0.89
2024-12-20 09:17:00,"Neutral experience, met basic expectations.",NEUTRAL,0.87
2024-04-17 10:53:00,This is the worst purchase I've made this year.,NEGATIVE,0.81
2024-05-13 17:50:00,"Horrible service, needs improvement.",NEGATIVE,0.76
2024-02-03 21:15:00,"I might consider buying again, not sure.",NEUTRAL,0.81
2024-12-29 13:03:00,"Terrible experience, I want a refund.",NEGATIVE,0.77
2024-04-29 14:41:00,The product exceeded my expectations!,POSITIVE,0.98
2024-11-10 04:22:00,Five stars for the excellent support team!,POSITIVE,0.88
2024-03-23 10:34:00,"Brilliant service, keep up the good work!",POSITIVE,0.9
2024-03-19 12:18:00,The product exceeded my expectations!,POSITIVE,0.85
2024-06-12 19:38:00,I will never buy from this company again.,NEGATIVE,0.72
2024-02-17 16:34:00,"Neutral experience, met basic expectations.",NEUTRAL,0.88
2024-03-15 04:52:00,"Customer service was fantastic, very helpful.",POSITIVE,0.89
2024-02-29 09:57:00,The product exceeded my expectations!,POSITIVE,0.96
2024-11-01 22:58:00,This product did not meet my expectations.,NEGATIVE,0.76
2024-04-15 13:21:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.92
2024-04-28 12:35:00,I will never buy from this company again.,NEGATIVE,0.66
2024-08-29 22:16:00,"It's fine, does the job.",NEUTRAL,0.87
2024-07-19 00:04:00,This is the worst purchase I've made this year.,NEGATIVE,0.77
2024-03-10 10:31:00,Nothing special about this product.,NEUTRAL,0.84
2024-01-23 22:17:00,"Average experience, not bad but not great.",NEUTRAL,0.89
2024-09-20 18:20:00,"I might consider buying again, not sure.",NEUTRAL,0.79
2024-12-05 16:27:00,"Brilliant service, keep up the good work!",POSITIVE,0.95
2024-04-22 14:52:00,This purchase was neither good nor bad.,NEUTRAL,0.81
2024-12-23 23:16:00,I'm very disappointed with this.,NEGATIVE,0.82
2024-04-09 19:15:00,"Average experience, not bad but not great.",NEUTRAL,0.88
2024-12-06 16:00:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-10-23 06:39:00,Customer service was unhelpful and rude.,NEGATIVE,0.77
2024-12-17 16:45:00,"Brilliant service, keep up the good work!",POSITIVE,0.86
2024-09-13 13:07:00,This is the best purchase I've made this year.,POSITIVE,0.94
2024-07-09 20:31:00,I will definitely recommend this to others.,POSITIVE,0.93
2024-07-12 21:27:00,I will never buy from this company again.,NEGATIVE,0.8
2024-10-10 21:08:00,Five stars for the excellent support team!,POSITIVE,0.9
2024-06-11 00:11:00,I'm very disappointed with this.,NEGATIVE,0.84
2024-02-25 20:56:00,"Neutral experience, met basic expectations.",NEUTRAL,0.8
2024-12-26 22:54:00,"Terrible experience, I want a refund.",NEGATIVE,0.83
2024-11-06 04:27:00,The product exceeded my expectations!,POSITIVE,0.99
2024-10-17 05:39:00,This product did not meet my expectations.,NEGATIVE,0.69
2024-08-08 18:45:00,Customer service was unhelpful and rude.,NEGATIVE,0.68
2024-10-28 04:59:00,Unacceptable experience overall.,NEGATIVE,0.77
2024-01-07 14:22:00,This is the worst purchase I've made this year.,NEGATIVE,0.69
2024-01-05 12:41:00,The product exceeded my expectations!,POSITIVE,0.96
2024-02-08 21:20:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.88
2024-07-25 19:49:00,"Brilliant service, keep up the good work!",POSITIVE,0.89
2024-05-09 19:22:00,"Terrible experience, I want a refund.",NEGATIVE,0.78
2024-01-14 04:02:00,"Customer service was fantastic, very helpful.",POSITIVE,0.9
2024-09-14 04:03:00,"Customer service was decent, could be better.",NEUTRAL,0.9
2024-05-08 17:48:00,"Brilliant service, keep up the good work!",POSITIVE,0.92
2024-07-02 05:23:00,"Brilliant service, keep up the good work!",POSITIVE,0.88
2024-02-27 23:01:00,"Average experience, not bad but not great.",NEUTRAL,0.76
2024-10-26 18:32:00,One star for the terrible support team.,NEGATIVE,0.75
2024-05-14 20:48:00,This product did not meet my expectations.,NEGATIVE,0.72
2024-05-09 14:35:00,Five stars for the excellent support team!,POSITIVE,0.98
2024-07-29 02:23:00,"It's fine, does the job.",NEUTRAL,0.89
2024-03-30 21:20:00,"Customer service was decent, could be better.",NEUTRAL,0.79
2024-04-16 06:59:00,"Top-notch, I'm very satisfied.",POSITIVE,0.89
2024-10-07 02:58:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.86
2024-04-28 21:28:00,I will never buy from this company again.,NEGATIVE,0.67
2024-12-21 01:51:00,"Average experience, not bad but not great.",NEUTRAL,0.79
2024-05-09 00:05:00,Nothing special about this product.,NEUTRAL,0.75
2024-11-15 07:07:00,Superb quality and value for money.,POSITIVE,0.98
2024-09-28 17:15:00,This is the best purchase I've made this year.,POSITIVE,0.86
2024-04-02 04:58:00,Nothing special about this product.,NEUTRAL,0.86
2024-04-10 18:26:00,One star for the terrible support team.,NEGATIVE,0.83
2024-07-07 21:34:00,"An average product, nothing to rave about.",NEUTRAL,0.79
2024-04-13 05:27:00,I'm so happy with this!,POSITIVE,0.89
2024-09-18 20:00:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.98
2024-01-29 06:27:00,This product did not meet my expectations.,NEGATIVE,0.82
2024-08-31 20:05:00,"Brilliant service, keep up the good work!",POSITIVE,0.96
2024-07-03 05:47:00,"Top-notch, I'm very satisfied.",POSITIVE,0.88
2024-12-21 19:51:00,I'm very disappointed with this.,NEGATIVE,0.74
2024-10-03 20:27:00,"Customer service was fantastic, very helpful.",POSITIVE,0.97
2024-06-06 05:08:00,"Top-notch, I'm very satisfied.",POSITIVE,0.98
2024-03-13 15:19:00,One star for the terrible support team.,NEGATIVE,0.85
2024-11-27 05:11:00,"Average experience, not bad but not great.",NEUTRAL,0.88
2024-02-21 12:50:00,"Top-notch, I'm very satisfied.",POSITIVE,0.87
2024-06-27 15:30:00,This purchase was neither good nor bad.,NEUTRAL,0.84
2024-02-09 22:58:00,Superb quality and value for money.,POSITIVE,0.91
2024-08-03 10:56:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.8
2024-11-16 22:50:00,"Customer service was decent, could be better.",NEUTRAL,0.84
2024-06-21 23:27:00,I will never buy from this company again.,NEGATIVE,0.65
2024-06-01 09:37:00,This is the best purchase I've made this year.,POSITIVE,0.95
2024-09-23 14:42:00,Unacceptable experience overall.,NEGATIVE,0.76
2024-02-29 13:12:00,Unacceptable experience overall.,NEGATIVE,0.82
2024-06-03 02:40:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.81
2024-04-13 20:07:00,"Horrible service, needs improvement.",NEGATIVE,0.79
2024-02-22 07:54:00,"An average product, nothing to rave about.",NEUTRAL,0.87
2024-01-13 23:46:00,"Average experience, not bad but not great.",NEUTRAL,0.85
2024-07-18 14:40:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.96
2024-06-05 16:37:00,This is the worst purchase I've made this year.,NEGATIVE,0.68
2024-08-20 22:25:00,This is the worst purchase I've made this year.,NEGATIVE,0.75
2024-01-27 21:20:00,Nothing special about this product.,NEUTRAL,0.76
2024-11-07 09:24:00,"I might consider buying again, not sure.",NEUTRAL,0.89
2024-12-26 13:04:00,"The service was acceptable, nothing more.",NEUTRAL,0.9
2024-08-09 08:48:00,I'm very disappointed with this.,NEGATIVE,0.81
2024-01-16 03:51:00,I'm so happy with this!,POSITIVE,0.87
2024-06-01 10:34:00,I'm so happy with this!,POSITIVE,0.89
2024-09-11 01:52:00,Five stars for the excellent support team!,POSITIVE,0.99
2024-04-14 11:14:00,"Horrible service, needs improvement.",NEGATIVE,0.74
2024-04-02 21:34:00,I will definitely recommend this to others.,POSITIVE,0.88
2024-10-01 09:41:00,I will definitely recommend this to others.,POSITIVE,0.88
2024-10-10 15:43:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.8
2024-06-18 22:49:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.83
2024-06-19 15:46:00,"The product was okay, nothing extraordinary.",NEUTRAL,0.84
2024-03-19 16:39:00,This is the worst purchase I've made this year.,NEGATIVE,0.73
2024-01-30 02:33:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.97
2024-08-27 15:17:00,"Poor quality, not worth the money.",NEGATIVE,0.82
2024-11-28 08:05:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.89
2024-11-06 20:11:00,"Brilliant service, keep up the good work!",POSITIVE,0.86
2024-06-04 03:43:00,"Customer service was decent, could be better.",NEUTRAL,0.82
2024-09-26 22:21:00,"Customer service was fantastic, very helpful.",POSITIVE,0.98
2024-10-19 21:38:00,I will definitely recommend this to others.,POSITIVE,0.86
2024-06-02 16:42:00,This is the worst purchase I've made this year.,NEGATIVE,0.67
2024-09-11 08:52:00,"Amazing experience, I loved every bit of it.",POSITIVE,0.92
2024-09-22 09:41:00,"The service was acceptable, nothing more.",NEUTRAL,0.83
2024-01-30 23:04:00,Superb quality and value for money.,POSITIVE,0.92
2024-06-03 12:33:00,I will definitely recommend this to others.,POSITIVE,0.97
2024-10-04 11:41:00,This product did not meet my expectations.,NEGATIVE,0.66
2024-11-06 07:50:00,I'm very disappointed with this.,NEGATIVE,0.68
