Timestamp,Input Text,Sentiment,Confidence Score
2024-12-18 11:58:51.625181,To do is a good day to learn python.,POSITIVE,1.00
2024-12-18 13:00:54.154376,My ass hurts.,NEGATIVE,1.00
2024-12-18 13:05:28.871527,Does a dog have Buddha nature?,NEGATIVE,0.99
2024-12-18 13:05:53.427439,My dog wags his tail!,NEGATIVE,0.61
2024-12-18 13:06:16.519559,The happy man is never angry.,POSITIVE,1.00
2024-12-18 13:06:26.309643,The angry man is never happy.,NEGATIVE,1.00
2024-11-24 17:45:18,Mock text 1 with sentiment POSITIVE,POSITIVE,0.86
2024-12-12 08:16:49,Mock text 2 with sentiment POSITIVE,NEGATIVE,0.71
2024-12-16 12:19:11,Mock text 3 with sentiment NEGATIVE,NEGATIVE,0.91
2024-11-29 07:22:08,Mock text 4 with sentiment NEUTRAL,NEGATIVE,0.73
2024-12-15 01:22:24,Mock text 5 with sentiment NEGATIVE,NEGATIVE,0.99
2024-11-22 02:41:51,Mock text 6 with sentiment NEGATIVE,NEGATIVE,0.97
2024-11-24 02:42:35,Mock text 7 with sentiment POSITIVE,POSITIVE,0.96
2024-12-12 15:41:17,Mock text 8 with sentiment NEGATIVE,NEUTRAL,0.78
2024-12-06 09:48:57,Mock text 9 with sentiment NEUTRAL,NEGATIVE,0.8
2024-11-28 23:36:24,Mock text 10 with sentiment NEUTRAL,NEGATIVE,0.94
2024-12-06 02:25:46,Mock text 11 with sentiment NEGATIVE,NEUTRAL,0.73
2024-12-08 02:35:44,Mock text 12 with sentiment NEUTRAL,NEGATIVE,0.97
2024-11-25 08:26:43,Mock text 13 with sentiment NEGATIVE,NEUTRAL,0.8
2024-11-22 02:26:00,Mock text 14 with sentiment NEGATIVE,POSITIVE,0.98
2024-11-22 01:49:30,Mock text 15 with sentiment POSITIVE,POSITIVE,0.93
2024-12-11 11:01:32,Mock text 16 with sentiment NEGATIVE,NEUTRAL,0.87
2024-11-27 06:48:08,Mock text 17 with sentiment POSITIVE,NEUTRAL,0.94
2024-11-22 15:15:33,Mock text 18 with sentiment NEGATIVE,NEUTRAL,0.72
2024-12-12 15:51:34,Mock text 19 with sentiment NEUTRAL,NEUTRAL,0.87
2024-12-15 22:09:08,Mock text 20 with sentiment NEGATIVE,NEUTRAL,0.86
2024-11-29 02:56:01,Mock text 21 with sentiment POSITIVE,NEGATIVE,0.99
2024-11-25 23:36:05,Mock text 22 with sentiment NEUTRAL,POSITIVE,0.75
2024-12-15 22:13:40,Mock text 23 with sentiment NEUTRAL,POSITIVE,0.76
2024-12-18 09:40:07,Mock text 24 with sentiment NEGATIVE,POSITIVE,0.72
2024-12-01 09:06:17,Mock text 25 with sentiment NEUTRAL,POSITIVE,0.92
2024-12-16 12:08:56,Mock text 26 with sentiment NEUTRAL,POSITIVE,0.83
2024-12-18 13:29:49,Mock text 27 with sentiment NEUTRAL,NEUTRAL,0.8
2024-12-10 20:00:05,Mock text 28 with sentiment POSITIVE,NEUTRAL,0.96
2024-12-02 15:37:01,Mock text 29 with sentiment NEUTRAL,NEUTRAL,0.81
2024-12-05 12:52:43,Mock text 30 with sentiment NEUTRAL,NEUTRAL,0.71
2024-12-06 15:39:06,Mock text 31 with sentiment NEUTRAL,POSITIVE,0.97
2024-12-01 18:51:25,Mock text 32 with sentiment POSITIVE,NEGATIVE,0.83
2024-12-07 03:22:15,Mock text 33 with sentiment NEGATIVE,POSITIVE,0.89
2024-11-25 04:40:26,Mock text 34 with sentiment NEUTRAL,POSITIVE,0.87
2024-12-18 06:11:12,Mock text 35 with sentiment NEUTRAL,POSITIVE,0.89
2024-11-27 02:19:50,Mock text 36 with sentiment POSITIVE,POSITIVE,0.9
2024-11-25 09:16:28,Mock text 37 with sentiment NEUTRAL,NEUTRAL,0.97
2024-12-15 13:08:04,Mock text 38 with sentiment POSITIVE,POSITIVE,0.75
2024-12-10 08:13:41,Mock text 39 with sentiment NEUTRAL,NEUTRAL,0.87
2024-11-24 18:25:38,Mock text 40 with sentiment NEUTRAL,NEGATIVE,0.73
2024-11-24 01:07:38,Mock text 41 with sentiment NEGATIVE,POSITIVE,0.94
2024-11-23 20:10:22,Mock text 42 with sentiment NEGATIVE,POSITIVE,0.97
2024-12-15 17:40:31,Mock text 43 with sentiment NEGATIVE,POSITIVE,0.73
2024-12-15 19:06:47,Mock text 44 with sentiment NEUTRAL,POSITIVE,0.78
2024-11-24 12:32:54,Mock text 45 with sentiment POSITIVE,NEUTRAL,0.99
2024-11-24 16:26:26,Mock text 46 with sentiment NEUTRAL,POSITIVE,0.87
2024-12-10 03:59:46,Mock text 47 with sentiment NEGATIVE,NEUTRAL,0.97
2024-12-18 23:41:39,Mock text 48 with sentiment NEGATIVE,NEUTRAL,0.76
2024-12-04 09:26:50,Mock text 49 with sentiment NEGATIVE,NEUTRAL,0.76
2024-12-18 05:49:26,Mock text 50 with sentiment POSITIVE,NEGATIVE,0.99
2024-12-01 19:49:34,Mock text 51 with sentiment NEGATIVE,NEGATIVE,0.95
2024-12-05 01:57:04,Mock text 52 with sentiment NEUTRAL,NEUTRAL,0.88
2024-11-21 19:30:20,Mock text 53 with sentiment NEUTRAL,POSITIVE,0.78
2024-11-28 06:20:05,Mock text 54 with sentiment POSITIVE,NEGATIVE,0.75
2024-11-27 22:59:14,Mock text 55 with sentiment POSITIVE,NEUTRAL,0.74
2024-11-23 08:33:02,Mock text 56 with sentiment NEGATIVE,POSITIVE,0.97
2024-11-24 10:32:28,Mock text 57 with sentiment NEGATIVE,NEUTRAL,0.96
2024-12-13 09:37:46,Mock text 58 with sentiment NEGATIVE,POSITIVE,0.71
2024-11-24 23:19:14,Mock text 59 with sentiment NEUTRAL,POSITIVE,0.81
2024-12-14 22:42:40,Mock text 60 with sentiment POSITIVE,NEGATIVE,0.87
2024-11-21 09:05:13,Mock text 61 with sentiment NEGATIVE,NEUTRAL,0.8
2024-11-23 19:09:24,Mock text 62 with sentiment POSITIVE,NEGATIVE,0.88
2024-11-23 18:44:02,Mock text 63 with sentiment NEUTRAL,NEGATIVE,0.99
2024-11-19 18:40:27,Mock text 64 with sentiment NEGATIVE,POSITIVE,0.9
2024-11-23 11:11:40,Mock text 65 with sentiment NEGATIVE,NEUTRAL,0.88
2024-12-07 21:41:03,Mock text 66 with sentiment POSITIVE,NEGATIVE,0.75
2024-12-02 00:34:35,Mock text 67 with sentiment POSITIVE,NEUTRAL,0.9
2024-11-21 21:52:16,Mock text 68 with sentiment POSITIVE,NEGATIVE,0.85
2024-11-30 01:36:32,Mock text 69 with sentiment POSITIVE,POSITIVE,0.71
2024-11-28 06:04:39,Mock text 70 with sentiment POSITIVE,NEGATIVE,0.73
2024-12-17 20:59:43,Mock text 71 with sentiment NEGATIVE,POSITIVE,0.85
2024-11-23 09:17:26,Mock text 72 with sentiment NEUTRAL,POSITIVE,0.88
2024-12-07 13:56:01,Mock text 73 with sentiment NEUTRAL,NEUTRAL,0.81
2024-12-12 10:35:30,Mock text 74 with sentiment NEGATIVE,NEUTRAL,0.91
2024-11-21 04:11:49,Mock text 75 with sentiment NEGATIVE,NEUTRAL,0.79
2024-11-20 14:46:45,Mock text 76 with sentiment POSITIVE,POSITIVE,0.86
2024-12-08 17:14:18,Mock text 77 with sentiment POSITIVE,NEUTRAL,0.87
2024-11-24 15:52:44,Mock text 78 with sentiment NEUTRAL,NEUTRAL,0.99
2024-11-20 17:32:23,Mock text 79 with sentiment NEGATIVE,POSITIVE,0.95
2024-11-25 06:01:29,Mock text 80 with sentiment NEUTRAL,NEGATIVE,0.76
2024-11-29 17:30:04,Mock text 81 with sentiment NEGATIVE,NEGATIVE,0.81
2024-11-20 16:35:27,Mock text 82 with sentiment NEGATIVE,NEUTRAL,0.98
2024-11-21 14:05:12,Mock text 83 with sentiment POSITIVE,NEGATIVE,0.98
2024-11-19 23:41:42,Mock text 84 with sentiment NEGATIVE,NEGATIVE,0.72
2024-11-28 09:57:43,Mock text 85 with sentiment NEGATIVE,POSITIVE,0.74
2024-12-09 23:13:10,Mock text 86 with sentiment NEGATIVE,POSITIVE,0.74
2024-11-26 02:11:30,Mock text 87 with sentiment NEGATIVE,NEGATIVE,0.79
2024-11-26 04:40:05,Mock text 88 with sentiment NEGATIVE,NEGATIVE,0.87
2024-12-03 11:13:20,Mock text 89 with sentiment NEGATIVE,NEUTRAL,0.85
2024-12-09 00:16:40,Mock text 90 with sentiment POSITIVE,POSITIVE,0.7
2024-12-14 02:05:57,Mock text 91 with sentiment NEUTRAL,NEUTRAL,0.88
2024-12-14 14:49:16,Mock text 92 with sentiment NEUTRAL,NEGATIVE,0.92
2024-12-16 02:02:38,Mock text 93 with sentiment NEGATIVE,NEUTRAL,0.74
2024-11-23 01:22:37,Mock text 94 with sentiment NEGATIVE,POSITIVE,0.96
2024-11-22 09:31:49,Mock text 95 with sentiment NEUTRAL,NEUTRAL,0.88
2024-12-07 10:23:49,Mock text 96 with sentiment NEUTRAL,NEGATIVE,0.87
2024-11-24 16:37:35,Mock text 97 with sentiment POSITIVE,NEUTRAL,0.7
2024-12-03 22:55:22,Mock text 98 with sentiment NEUTRAL,POSITIVE,1.0
2024-12-15 14:48:10,Mock text 99 with sentiment NEUTRAL,NEGATIVE,0.72
2024-12-06 05:47:12,Mock text 100 with sentiment NEGATIVE,POSITIVE,0.83
2024-01-01 20:14:00,Mock text for 2024-01-01,NEGATIVE,0.95
2024-01-01 13:15:00,Mock text for 2024-01-01,POSITIVE,0.81
2024-01-01 05:43:00,Mock text for 2024-01-01,NEGATIVE,0.81
2024-01-01 01:53:00,Mock text for 2024-01-01,NEGATIVE,0.72
2024-01-01 20:39:00,Mock text for 2024-01-01,NEGATIVE,0.85
2024-01-01 15:09:00,Mock text for 2024-01-01,NEGATIVE,0.82
2024-01-02 01:44:00,Mock text for 2024-01-02,POSITIVE,0.83
2024-01-02 02:56:00,Mock text for 2024-01-02,POSITIVE,0.76
2024-01-02 09:01:00,Mock text for 2024-01-02,POSITIVE,0.91
2024-01-03 10:46:00,Mock text for 2024-01-03,NEGATIVE,0.82
2024-01-03 13:47:00,Mock text for 2024-01-03,NEUTRAL,0.73
2024-01-03 21:23:00,Mock text for 2024-01-03,POSITIVE,0.81
2024-01-03 03:18:00,Mock text for 2024-01-03,POSITIVE,0.92
2024-01-03 08:26:00,Mock text for 2024-01-03,NEGATIVE,0.95
2024-01-03 08:53:00,Mock text for 2024-01-03,NEGATIVE,0.71
2024-01-04 07:40:00,Mock text for 2024-01-04,NEGATIVE,0.9
2024-01-04 00:15:00,Mock text for 2024-01-04,NEUTRAL,0.87
2024-01-04 21:16:00,Mock text for 2024-01-04,POSITIVE,0.97
2024-01-04 19:39:00,Mock text for 2024-01-04,NEGATIVE,0.9
2024-01-05 17:54:00,Mock text for 2024-01-05,NEUTRAL,0.93
2024-01-05 20:43:00,Mock text for 2024-01-05,NEUTRAL,0.77
2024-01-05 13:59:00,Mock text for 2024-01-05,NEGATIVE,0.8
2024-01-05 02:25:00,Mock text for 2024-01-05,POSITIVE,0.71
2024-01-05 15:59:00,Mock text for 2024-01-05,POSITIVE,0.79
2024-01-05 15:55:00,Mock text for 2024-01-05,NEUTRAL,0.88
2024-01-06 18:28:00,Mock text for 2024-01-06,NEGATIVE,0.91
2024-01-06 05:53:00,Mock text for 2024-01-06,NEUTRAL,1.0
2024-01-06 09:30:00,Mock text for 2024-01-06,NEGATIVE,0.86
2024-01-06 17:19:00,Mock text for 2024-01-06,NEUTRAL,0.87
2024-01-06 17:57:00,Mock text for 2024-01-06,POSITIVE,0.83
2024-01-07 07:27:00,Mock text for 2024-01-07,NEGATIVE,1.0
2024-01-07 11:23:00,Mock text for 2024-01-07,NEGATIVE,0.89
2024-01-07 11:21:00,Mock text for 2024-01-07,NEGATIVE,0.71
2024-01-07 13:49:00,Mock text for 2024-01-07,NEGATIVE,0.77
2024-01-07 11:46:00,Mock text for 2024-01-07,POSITIVE,0.94
2024-01-07 09:51:00,Mock text for 2024-01-07,NEUTRAL,0.77
2024-01-08 16:32:00,Mock text for 2024-01-08,NEUTRAL,0.97
2024-01-08 12:39:00,Mock text for 2024-01-08,NEGATIVE,0.84
2024-01-08 13:32:00,Mock text for 2024-01-08,POSITIVE,0.84
2024-01-08 16:51:00,Mock text for 2024-01-08,NEGATIVE,0.83
2024-01-08 02:30:00,Mock text for 2024-01-08,POSITIVE,0.84
2024-01-08 09:17:00,Mock text for 2024-01-08,POSITIVE,0.82
2024-01-09 19:57:00,Mock text for 2024-01-09,POSITIVE,0.84
2024-01-09 18:49:00,Mock text for 2024-01-09,NEUTRAL,0.97
2024-01-09 06:28:00,Mock text for 2024-01-09,NEUTRAL,0.86
2024-01-09 01:37:00,Mock text for 2024-01-09,POSITIVE,0.88
2024-01-09 22:20:00,Mock text for 2024-01-09,POSITIVE,0.87
2024-01-09 08:29:00,Mock text for 2024-01-09,POSITIVE,0.79
2024-01-09 12:13:00,Mock text for 2024-01-09,NEGATIVE,0.74
2024-01-10 02:23:00,Mock text for 2024-01-10,POSITIVE,0.71
2024-01-10 18:36:00,Mock text for 2024-01-10,NEUTRAL,0.89
2024-01-10 01:31:00,Mock text for 2024-01-10,NEUTRAL,0.92
2024-01-10 18:00:00,Mock text for 2024-01-10,NEGATIVE,0.95
2024-01-10 20:22:00,Mock text for 2024-01-10,NEUTRAL,0.88
2024-01-10 20:49:00,Mock text for 2024-01-10,NEUTRAL,0.98
2024-01-11 01:01:00,Mock text for 2024-01-11,NEGATIVE,0.93
2024-01-11 17:47:00,Mock text for 2024-01-11,NEGATIVE,0.81
2024-01-11 05:40:00,Mock text for 2024-01-11,POSITIVE,0.87
2024-01-12 01:12:00,Mock text for 2024-01-12,NEUTRAL,0.82
2024-01-12 20:06:00,Mock text for 2024-01-12,POSITIVE,0.98
2024-01-12 13:48:00,Mock text for 2024-01-12,POSITIVE,0.98
2024-01-12 04:30:00,Mock text for 2024-01-12,POSITIVE,0.96
2024-01-12 06:18:00,Mock text for 2024-01-12,NEGATIVE,0.99
2024-01-12 19:42:00,Mock text for 2024-01-12,NEUTRAL,0.98
2024-01-13 01:56:00,Mock text for 2024-01-13,NEGATIVE,0.85
2024-01-13 10:55:00,Mock text for 2024-01-13,POSITIVE,0.98
2024-01-13 17:00:00,Mock text for 2024-01-13,NEGATIVE,0.86
2024-01-13 09:57:00,Mock text for 2024-01-13,POSITIVE,0.96
2024-01-13 05:47:00,Mock text for 2024-01-13,NEGATIVE,0.95
2024-01-14 03:59:00,Mock text for 2024-01-14,POSITIVE,0.95
2024-01-14 18:52:00,Mock text for 2024-01-14,NEGATIVE,0.73
2024-01-14 20:42:00,Mock text for 2024-01-14,NEGATIVE,0.87
2024-01-14 09:01:00,Mock text for 2024-01-14,POSITIVE,0.94
2024-01-14 12:45:00,Mock text for 2024-01-14,NEUTRAL,0.78
2024-01-14 01:31:00,Mock text for 2024-01-14,NEGATIVE,0.72
2024-01-14 13:10:00,Mock text for 2024-01-14,NEUTRAL,0.9
2024-01-15 08:21:00,Mock text for 2024-01-15,NEGATIVE,0.8
2024-01-15 16:47:00,Mock text for 2024-01-15,NEGATIVE,0.9
2024-01-15 19:25:00,Mock text for 2024-01-15,NEUTRAL,0.8
2024-01-15 06:22:00,Mock text for 2024-01-15,NEGATIVE,0.97
2024-01-16 20:52:00,Mock text for 2024-01-16,NEUTRAL,0.91
2024-01-16 15:27:00,Mock text for 2024-01-16,NEUTRAL,0.96
2024-01-16 14:52:00,Mock text for 2024-01-16,NEGATIVE,0.88
2024-01-16 04:53:00,Mock text for 2024-01-16,NEGATIVE,0.82
2024-01-16 20:03:00,Mock text for 2024-01-16,NEUTRAL,0.77
2024-01-16 23:43:00,Mock text for 2024-01-16,NEUTRAL,0.71
2024-01-16 22:31:00,Mock text for 2024-01-16,NEGATIVE,0.7
2024-01-17 07:58:00,Mock text for 2024-01-17,NEUTRAL,0.89
2024-01-17 19:30:00,Mock text for 2024-01-17,NEUTRAL,0.97
2024-01-17 16:36:00,Mock text for 2024-01-17,NEUTRAL,0.91
2024-01-18 10:48:00,Mock text for 2024-01-18,POSITIVE,0.71
2024-01-18 22:48:00,Mock text for 2024-01-18,NEUTRAL,0.96
2024-01-18 07:30:00,Mock text for 2024-01-18,POSITIVE,0.73
2024-01-18 12:43:00,Mock text for 2024-01-18,NEUTRAL,0.95
2024-01-18 16:44:00,Mock text for 2024-01-18,NEGATIVE,0.76
2024-01-18 12:36:00,Mock text for 2024-01-18,NEUTRAL,0.96
2024-01-18 06:07:00,Mock text for 2024-01-18,NEUTRAL,0.98
2024-01-19 07:15:00,Mock text for 2024-01-19,NEGATIVE,0.82
2024-01-19 19:14:00,Mock text for 2024-01-19,POSITIVE,0.95
2024-01-19 16:11:00,Mock text for 2024-01-19,NEUTRAL,0.82
2024-01-19 16:36:00,Mock text for 2024-01-19,NEUTRAL,0.93
2024-01-19 17:57:00,Mock text for 2024-01-19,POSITIVE,0.79
2024-01-19 20:35:00,Mock text for 2024-01-19,NEUTRAL,1.0
2024-01-19 21:17:00,Mock text for 2024-01-19,NEGATIVE,0.8
2024-01-20 11:44:00,Mock text for 2024-01-20,NEUTRAL,0.97
2024-01-20 05:36:00,Mock text for 2024-01-20,NEUTRAL,0.71
2024-01-20 21:03:00,Mock text for 2024-01-20,NEUTRAL,0.98
2024-01-20 09:06:00,Mock text for 2024-01-20,NEUTRAL,0.71
2024-01-20 20:30:00,Mock text for 2024-01-20,NEUTRAL,0.73
2024-01-20 07:29:00,Mock text for 2024-01-20,POSITIVE,0.97
2024-01-21 09:19:00,Mock text for 2024-01-21,NEUTRAL,0.87
2024-01-21 00:00:00,Mock text for 2024-01-21,NEUTRAL,0.73
2024-01-21 23:29:00,Mock text for 2024-01-21,NEGATIVE,0.71
2024-01-21 06:12:00,Mock text for 2024-01-21,POSITIVE,0.76
2024-01-21 18:09:00,Mock text for 2024-01-21,NEUTRAL,0.76
2024-01-22 06:41:00,Mock text for 2024-01-22,NEGATIVE,0.9
2024-01-22 23:48:00,Mock text for 2024-01-22,NEGATIVE,0.71
2024-01-22 05:36:00,Mock text for 2024-01-22,POSITIVE,0.72
2024-01-22 02:15:00,Mock text for 2024-01-22,NEUTRAL,0.71
2024-01-22 14:09:00,Mock text for 2024-01-22,POSITIVE,0.8
2024-01-22 02:58:00,Mock text for 2024-01-22,NEGATIVE,0.81
2024-01-22 06:10:00,Mock text for 2024-01-22,POSITIVE,0.71
2024-01-23 20:34:00,Mock text for 2024-01-23,POSITIVE,0.88
2024-01-23 17:26:00,Mock text for 2024-01-23,NEUTRAL,0.92
2024-01-23 16:19:00,Mock text for 2024-01-23,NEGATIVE,0.78
2024-01-23 07:55:00,Mock text for 2024-01-23,NEGATIVE,0.96
2024-01-23 00:04:00,Mock text for 2024-01-23,NEUTRAL,0.96
2024-01-23 18:09:00,Mock text for 2024-01-23,POSITIVE,0.82
2024-01-24 13:14:00,Mock text for 2024-01-24,POSITIVE,0.74
2024-01-24 10:08:00,Mock text for 2024-01-24,POSITIVE,0.96
2024-01-24 17:52:00,Mock text for 2024-01-24,NEGATIVE,0.96
2024-01-24 03:23:00,Mock text for 2024-01-24,NEGATIVE,0.82
2024-01-24 20:03:00,Mock text for 2024-01-24,NEGATIVE,0.93
2024-01-24 19:24:00,Mock text for 2024-01-24,NEUTRAL,0.96
2024-01-25 01:22:00,Mock text for 2024-01-25,POSITIVE,0.8
2024-01-25 02:42:00,Mock text for 2024-01-25,NEGATIVE,0.95
2024-01-25 18:54:00,Mock text for 2024-01-25,POSITIVE,0.76
2024-01-26 09:19:00,Mock text for 2024-01-26,NEUTRAL,0.92
2024-01-26 14:10:00,Mock text for 2024-01-26,NEUTRAL,0.78
2024-01-26 16:03:00,Mock text for 2024-01-26,POSITIVE,0.73
2024-01-26 16:28:00,Mock text for 2024-01-26,NEUTRAL,0.78
2024-01-27 02:12:00,Mock text for 2024-01-27,POSITIVE,0.96
2024-01-27 16:03:00,Mock text for 2024-01-27,POSITIVE,0.88
2024-01-27 05:53:00,Mock text for 2024-01-27,POSITIVE,0.74
2024-01-27 19:47:00,Mock text for 2024-01-27,POSITIVE,0.78
2024-01-27 09:51:00,Mock text for 2024-01-27,NEUTRAL,0.86
2024-01-27 14:41:00,Mock text for 2024-01-27,NEGATIVE,0.86
2024-01-27 12:59:00,Mock text for 2024-01-27,POSITIVE,0.9
2024-01-28 18:02:00,Mock text for 2024-01-28,NEGATIVE,0.98
2024-01-28 22:28:00,Mock text for 2024-01-28,POSITIVE,0.94
2024-01-28 19:38:00,Mock text for 2024-01-28,NEGATIVE,0.79
2024-01-28 10:10:00,Mock text for 2024-01-28,POSITIVE,0.8
2024-01-29 05:38:00,Mock text for 2024-01-29,NEUTRAL,0.98
2024-01-29 08:06:00,Mock text for 2024-01-29,NEUTRAL,0.9
2024-01-29 02:44:00,Mock text for 2024-01-29,POSITIVE,0.74
2024-01-29 16:21:00,Mock text for 2024-01-29,POSITIVE,0.97
2024-01-30 07:32:00,Mock text for 2024-01-30,POSITIVE,0.83
2024-01-30 01:32:00,Mock text for 2024-01-30,NEUTRAL,0.72
2024-01-30 08:34:00,Mock text for 2024-01-30,NEUTRAL,0.77
2024-01-30 01:07:00,Mock text for 2024-01-30,POSITIVE,0.98
2024-01-30 08:26:00,Mock text for 2024-01-30,POSITIVE,0.72
2024-01-30 12:16:00,Mock text for 2024-01-30,NEGATIVE,0.88
2024-01-30 16:51:00,Mock text for 2024-01-30,NEUTRAL,0.74
2024-01-31 06:02:00,Mock text for 2024-01-31,NEGATIVE,0.91
2024-01-31 13:15:00,Mock text for 2024-01-31,NEGATIVE,0.85
2024-01-31 10:04:00,Mock text for 2024-01-31,POSITIVE,0.73
2024-01-31 07:11:00,Mock text for 2024-01-31,POSITIVE,0.72
2024-01-31 12:14:00,Mock text for 2024-01-31,NEGATIVE,0.96
2024-01-31 22:00:00,Mock text for 2024-01-31,NEGATIVE,0.88
2024-02-01 06:41:00,Mock text for 2024-02-01,POSITIVE,0.87
2024-02-01 06:27:00,Mock text for 2024-02-01,NEGATIVE,0.93
2024-02-01 13:57:00,Mock text for 2024-02-01,POSITIVE,0.79
2024-02-01 14:41:00,Mock text for 2024-02-01,NEGATIVE,0.71
2024-02-01 09:07:00,Mock text for 2024-02-01,POSITIVE,0.78
2024-02-01 14:33:00,Mock text for 2024-02-01,NEGATIVE,0.91
2024-02-01 22:29:00,Mock text for 2024-02-01,POSITIVE,0.86
2024-02-02 06:59:00,Mock text for 2024-02-02,NEUTRAL,0.74
2024-02-02 02:20:00,Mock text for 2024-02-02,NEUTRAL,0.94
2024-02-02 23:02:00,Mock text for 2024-02-02,POSITIVE,0.89
2024-02-02 10:06:00,Mock text for 2024-02-02,NEGATIVE,0.96
2024-02-02 13:38:00,Mock text for 2024-02-02,NEUTRAL,0.78
2024-02-02 03:55:00,Mock text for 2024-02-02,NEUTRAL,0.99
2024-02-02 02:54:00,Mock text for 2024-02-02,NEUTRAL,0.72
2024-02-03 10:32:00,Mock text for 2024-02-03,NEUTRAL,0.97
2024-02-03 13:46:00,Mock text for 2024-02-03,POSITIVE,0.74
2024-02-03 14:57:00,Mock text for 2024-02-03,NEGATIVE,0.71
2024-02-04 03:37:00,Mock text for 2024-02-04,POSITIVE,0.93
2024-02-04 06:21:00,Mock text for 2024-02-04,POSITIVE,0.73
2024-02-04 16:59:00,Mock text for 2024-02-04,NEGATIVE,0.85
2024-02-04 18:14:00,Mock text for 2024-02-04,NEUTRAL,0.88
2024-02-04 00:18:00,Mock text for 2024-02-04,NEUTRAL,0.93
2024-02-04 20:51:00,Mock text for 2024-02-04,NEGATIVE,0.94
2024-02-05 22:57:00,Mock text for 2024-02-05,NEGATIVE,0.96
2024-02-05 04:01:00,Mock text for 2024-02-05,NEUTRAL,0.9
2024-02-05 21:38:00,Mock text for 2024-02-05,NEGATIVE,0.71
2024-02-05 00:01:00,Mock text for 2024-02-05,NEUTRAL,0.74
2024-02-05 08:35:00,Mock text for 2024-02-05,NEGATIVE,0.73
2024-02-06 15:02:00,Mock text for 2024-02-06,POSITIVE,0.84
2024-02-06 05:20:00,Mock text for 2024-02-06,NEGATIVE,0.93
2024-02-06 16:13:00,Mock text for 2024-02-06,NEGATIVE,0.98
2024-02-06 05:06:00,Mock text for 2024-02-06,POSITIVE,0.9
2024-02-06 04:12:00,Mock text for 2024-02-06,NEGATIVE,0.75
2024-02-06 02:48:00,Mock text for 2024-02-06,NEUTRAL,0.84
2024-02-07 14:36:00,Mock text for 2024-02-07,POSITIVE,0.72
2024-02-07 23:33:00,Mock text for 2024-02-07,POSITIVE,0.97
2024-02-07 15:34:00,Mock text for 2024-02-07,NEUTRAL,0.9
2024-02-07 03:06:00,Mock text for 2024-02-07,NEUTRAL,0.82
